Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,3722.52,10770.28
stencil_1d,heft_test,196.47,14471.0,3847.66,10623.34
stencil_1d_periodic,heft_test,194.06,14377.99,3814.57,10563.42
dom,heft_test,59.41,2996.92,590.13,2406.79
tree,heft_test,192.88,13230.43,4010.48,9219.95
fft,heft_test,192.97,14338.14,3727.42,10610.71
nearest,heft_test,196.3,14479.88,3869.62,10610.26
no_comm,heft_test,194.41,14435.41,3842.45,10592.96
spread -period 2,heft_test,194.69,14382.25,3778.93,10603.32
random_nearest,heft_test,192.48,14251.17,3728.95,10522.22
trivial,moheft_energy,176.24,20160.82,4211.62,15949.19,300.54,9730.69,3889.2,5841.49,300.97,9726.69,3876.55,5850.15
stencil_1d,moheft_energy,194.42,19307.67,4555.58,14752.08,324.77,9128.97,4002.77,5126.19,324.97,9110.47,4001.13,5109.33
stencil_1d_periodic,moheft_energy,196.16,19219.53,4283.79,14935.74,334.79,8897.38,4039.29,4858.1,335.21,8876.34,4029.72,4846.62
dom,moheft_energy,60.35,3712.64,557.59,3155.05,101.99,1521.95,359.62,1162.32,102.0,1513.01,359.21,1153.79
tree,moheft_energy,190.15,18653.68,4695.35,13958.34,306.41,9176.07,3820.92,5355.16,306.6,9172.22,3804.38,5367.84
fft,moheft_energy,193.02,20047.69,4301.29,15746.4,314.86,9467.44,4111.96,5355.48,315.86,9452.08,4099.09,5352.99
nearest,moheft_energy,196.75,19648.04,4372.84,15275.19,335.59,8714.75,4077.08,4637.67,337.84,8708.07,4089.12,4618.95
no_comm,moheft_energy,196.38,19987.13,4398.83,15588.29,307.43,10016.93,3962.74,6054.18,307.55,9998.09,3959.85,6038.25
spread -period 2,moheft_energy,195.42,19908.54,4231.13,15677.41,323.25,9275.33,4073.24,5202.09,323.46,9265.66,4078.12,5187.54
random_nearest,moheft_energy,193.14,20287.22,4121.89,16165.33,330.47,9249.21,4104.14,5145.07,330.73,9242.57,4116.34,5126.23
trivial,moheft_green_energy,176.24,21078.84,5434.96,15643.88,879.04,11125.68,9495.61,1630.07,879.55,11129.72,9505.89,1623.83
stencil_1d,moheft_green_energy,194.03,19059.79,5092.16,13967.63,493.3,11780.59,11249.26,531.33,493.83,11761.76,11240.45,521.31
stencil_1d_periodic,moheft_green_energy,195.79,19929.04,5456.11,14472.93,488.06,11782.72,11277.76,504.96,488.19,11731.75,11231.24,500.51
dom,moheft_green_energy,60.01,4246.74,881.74,3365.0,156.71,2918.57,2760.36,158.21,158.78,2861.46,2713.64,147.82
tree,moheft_green_energy,191.47,17640.97,4833.95,12807.02,499.91,10938.4,10434.74,503.66,500.8,10922.5,10419.82,502.67
fft,moheft_green_energy,194.3,19680.01,5032.75,14647.25,195.81,19631.57,5111.11,14520.47,489.32,11582.71,11031.08,551.62
nearest,moheft_green_energy,194.37,19028.5,5086.73,13941.77,495.48,11708.87,11240.07,468.8,496.18,11664.98,11201.12,463.86
no_comm,moheft_green_energy,194.31,20538.8,5473.6,15065.2,486.98,11767.95,11149.87,618.08,487.88,11777.57,11160.94,616.63
spread -period 2,moheft_green_energy,195.93,19760.4,4736.89,15023.51,482.99,11861.19,11233.38,627.81,483.55,11854.45,11235.2,619.25
random_nearest,moheft_green_energy,195.29,18900.19,4651.19,14249.0,491.84,11869.84,11326.54,543.31,493.13,11901.51,11359.56,541.95
