Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,3722.52,10770.28
stencil_1d,heft_test,194.0,14350.82,3778.08,10572.74
stencil_1d_periodic,heft_test,193.9,14362.96,3789.43,10573.53
dom,heft_test,59.41,2996.92,590.13,2406.79
tree,heft_test,193.26,13219.32,4024.34,9194.97
fft,heft_test,192.97,14336.73,3721.89,10614.84
nearest,heft_test,196.1,14477.18,3860.66,10616.52
no_comm,heft_test,194.41,14435.44,3842.55,10592.89
spread -period 2,heft_test,195.09,14386.93,3792.29,10594.65
random_nearest,heft_test,193.55,14254.74,3742.11,10512.63
trivial,moheft_energy,176.24,21048.68,4480.71,16567.97
trivial,moheft_energy,285.45,9771.17,4073.23,5697.93
trivial,moheft_energy,286.31,9753.79,4055.29,5698.5
trivial,moheft_energy,286.87,9734.57,4036.07,5698.5
trivial,moheft_energy,287.4,9719.45,4004.83,5714.62
trivial,moheft_energy,288.32,9701.72,3986.56,5715.16
trivial,moheft_energy,288.44,9674.73,3962.44,5712.29
trivial,moheft_energy,288.53,9651.76,3930.81,5720.94
trivial,moheft_energy,288.72,9628.79,3907.85,5720.94
trivial,moheft_energy,288.75,9609.85,3876.22,5733.63
trivial,moheft_energy,288.75,9590.91,3857.28,5733.63
stencil_1d,moheft_energy,195.68,20627.85,4898.84,15729.01
stencil_1d,moheft_energy,337.1,8520.36,4022.49,4497.88
stencil_1d,moheft_energy,337.1,8499.88,4064.23,4435.65
stencil_1d,moheft_energy,337.15,8479.48,4076.07,4403.4
stencil_1d,moheft_energy,337.31,8463.06,4078.11,4384.94
stencil_1d,moheft_energy,337.69,8444.2,4059.25,4384.94
stencil_1d,moheft_energy,337.82,8432.99,4044.3,4388.69
stencil_1d,moheft_energy,340.4,8431.39,4046.23,4385.16
stencil_1d,moheft_energy,341.56,8382.13,4078.77,4303.36
stencil_1d,moheft_energy,342.41,8382.12,4074.33,4307.79
stencil_1d,moheft_energy,342.65,8367.13,4065.0,4302.13
stencil_1d_periodic,moheft_energy,194.42,20705.05,4638.93,16066.12
stencil_1d_periodic,moheft_energy,333.55,8887.52,4048.49,4839.03
stencil_1d_periodic,moheft_energy,333.93,8884.53,4038.02,4846.51
stencil_1d_periodic,moheft_energy,335.91,8849.18,4074.29,4774.89
stencil_1d_periodic,moheft_energy,336.0,8834.12,4063.07,4771.05
stencil_1d_periodic,moheft_energy,336.64,8826.04,4088.54,4737.5
stencil_1d_periodic,moheft_energy,336.7,8803.76,4084.45,4719.31
stencil_1d_periodic,moheft_energy,336.98,8785.01,4096.65,4688.36
stencil_1d_periodic,moheft_energy,336.98,8766.26,4108.85,4657.4
stencil_1d_periodic,moheft_energy,337.7,8721.92,4090.65,4631.27
stencil_1d_periodic,moheft_energy,338.85,8707.96,4055.16,4652.8
dom,moheft_energy,62.01,3797.48,693.98,3103.5
dom,moheft_energy,101.31,1549.61,366.3,1183.31
dom,moheft_energy,101.31,1549.58,366.3,1183.29
dom,moheft_energy,101.42,1549.55,376.84,1172.71
dom,moheft_energy,103.26,1533.15,410.46,1122.69
dom,moheft_energy,103.26,1533.12,410.74,1122.39
dom,moheft_energy,103.28,1533.1,410.83,1122.27
dom,moheft_energy,103.27,1533.07,411.52,1121.55
dom,moheft_energy,103.38,1533.01,366.84,1166.17
dom,moheft_energy,103.38,1532.99,366.84,1166.14
dom,moheft_energy,103.39,1532.96,366.84,1166.12
tree,moheft_energy,193.01,19933.97,5532.34,14401.63
tree,moheft_energy,323.26,8695.96,4166.13,4529.83
tree,moheft_energy,323.41,8692.58,4176.07,4516.51
tree,moheft_energy,323.45,8688.59,4185.88,4502.71
tree,moheft_energy,323.5,8684.88,4185.88,4499.01
tree,moheft_energy,324.94,8675.71,4194.45,4481.26
tree,moheft_energy,328.35,8655.18,4243.94,4411.23
tree,moheft_energy,328.68,8650.93,4243.94,4406.99
tree,moheft_energy,329.84,8649.46,4255.75,4393.71
tree,moheft_energy,332.42,8641.65,4217.25,4424.4
fft,moheft_energy,193.95,20455.32,4889.28,15566.04
fft,moheft_energy,322.68,9059.01,4128.06,4930.95
fft,moheft_energy,322.75,9058.73,4127.78,4930.95
fft,moheft_energy,322.77,9044.81,4118.61,4926.2
fft,moheft_energy,322.79,9043.14,4104.13,4939.02
fft,moheft_energy,322.9,9024.23,4116.33,4907.9
fft,moheft_energy,323.11,9016.75,4139.04,4877.71
fft,moheft_energy,323.19,9006.67,4128.76,4877.91
fft,moheft_energy,323.5,9006.36,4128.6,4877.76
fft,moheft_energy,323.83,8984.24,4138.77,4845.47
fft,moheft_energy,324.36,8968.54,4121.76,4846.78
nearest,moheft_energy,196.41,20734.76,4786.96,15947.8
nearest,moheft_energy,339.17,8581.98,4072.86,4509.12
nearest,moheft_energy,339.19,8559.81,4072.86,4486.95
nearest,moheft_energy,339.58,8543.13,4088.19,4454.94
nearest,moheft_energy,339.59,8537.31,4075.97,4461.35
nearest,moheft_energy,340.17,8524.32,4063.83,4460.49
nearest,moheft_energy,340.23,8505.56,4063.83,4441.73
nearest,moheft_energy,340.37,8486.65,4076.03,4410.62
nearest,moheft_energy,340.5,8464.48,4053.95,4410.53
nearest,moheft_energy,341.5,8459.98,4054.05,4405.93
nearest,moheft_energy,341.93,8459.67,4055.8,4403.88
no_comm,moheft_energy,196.37,20457.39,4899.94,15557.45
no_comm,moheft_energy,338.95,8831.25,4229.18,4602.08
no_comm,moheft_energy,341.25,8807.69,4195.07,4612.62
no_comm,moheft_energy,341.44,8803.3,4221.72,4581.57
no_comm,moheft_energy,341.9,8773.47,4192.09,4581.38
