Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,4355.9,10136.89
stencil_1d,heft_test,196.83,14470.72,3653.58,10817.14
stencil_1d_periodic,heft_test,194.06,14377.98,3627.35,10750.62
dom,heft_test,59.41,2996.92,775.57,2221.35
tree,heft_test,193.47,13211.53,4126.14,9085.4
fft,heft_test,192.97,14336.57,3653.01,10683.56
nearest,heft_test,196.29,14484.99,3646.96,10838.03
no_comm,heft_test,194.41,14435.43,3650.45,10784.97
spread -period 2,heft_test,195.07,14385.79,3622.03,10763.76
random_nearest,heft_test,193.55,14256.34,3730.74,10525.6
trivial,moheft_energy,176.24,20339.89,4938.26,15401.63
stencil_1d,moheft_energy,196.33,18852.04,4509.47,14342.57
stencil_1d_periodic,moheft_energy,197.06,18706.24,4267.27,14438.97
dom,moheft_energy,60.78,4077.67,853.64,3224.04
tree,moheft_energy,191.04,17308.03,4521.42,12786.62
fft,moheft_energy,193.59,19520.91,4316.37,15204.53
nearest,moheft_energy,196.33,18852.04,4509.47,14342.57
no_comm,moheft_energy,194.44,19306.34,4421.91,14884.43
spread -period 2,moheft_energy,195.71,19506.71,3924.9,15581.82
random_nearest,moheft_energy,193.93,18248.41,4423.69,13824.72
trivial,moheft_green_energy,176.24,20540.01,5365.83,15174.18
stencil_1d,moheft_green_energy,194.24,19163.29,4648.52,14514.77
stencil_1d_periodic,moheft_green_energy,194.33,19160.86,4335.51,14825.35
dom,moheft_green_energy,60.91,4006.69,812.77,3193.92
tree,moheft_green_energy,192.36,19228.33,4687.89,14540.44
fft,moheft_green_energy,193.78,20263.29,4312.08,15951.21
nearest,moheft_green_energy,194.24,19163.29,4648.52,14514.77
no_comm,moheft_green_energy,194.3,19510.37,4565.11,14945.27
spread -period 2,moheft_green_energy,195.42,18621.16,4413.04,14208.12
random_nearest,moheft_green_energy,191.86,19510.55,4232.86,15277.68
